"","W1_Rep","W2_Rep","W3_Rep","W5_Rep","W7_Rep","W9_Rep","W10_Rep","W11_Rep","W1_Dem","W2_Dem","W3_Dem","W5_Dem","W7_Dem","W9_Dem","W10_Dem","W11_Dem","W1_Ind","W2_Ind","W3_Ind","W5_Ind","W7_Ind","W9_Ind","W10_Ind","W11_Ind"
"AK",79.52,83.87,56.7,80.5,64.67,63.21,51.51,69.72,20.21,47.04,48.79,48.05,58.53,32.67,30.43,43.3,65.74,51.87,46.72,35.62,33.47,28.94,29.51,40.38
"AL",80.91,64.65,76.08,68.47,68.04,64.77,62.48,69.61,37.5,37.32,32.24,36.49,31.2,36.94,36.59,33.33,50.84,50.11,35.08,32.01,43.62,30.82,30.36,39.9
"AR",81.01,75.78,75.48,68.38,50.89,65.41,71.88,66.79,62.38,50.68,39.32,39.06,33.82,29.84,44.93,46.16,51.04,49.73,43.74,34.63,37.1,36.85,38.36,49.34
"AZ",71.25,81.24,59.62,60.81,51.04,55.44,56.47,68.57,52.19,38.69,25.32,16.38,18.52,13.95,27.86,13.25,43.84,53.56,41.5,29.3,19.67,25.21,20.99,28.96
"CA",63.71,55.34,42.83,54.27,58.49,41.1,54.58,47.1,79.41,79.79,71.94,70.86,70.34,62.12,61.84,61.91,61.6,59.19,52.7,42.58,45.18,32.95,34.93,35.77
"CO",63.13,45.02,48.86,48.8,46.32,47.7,50.48,43.75,69.67,62.48,68.01,61.93,59.58,68.81,66.59,75.44,63.14,55.34,44.36,48.24,46.67,45.96,47.71,58.08
"CT",58.89,56.04,64.65,48.92,55.16,59.96,52.42,62.01,77.72,76.83,71.4,72.07,74,72.27,62.08,74.82,61.63,61.35,56.15,53.42,53.81,64.26,60.33,54.95
"DE",70.17,60.56,44.86,50.97,48.7,63.1,37.3,52.12,75.54,76.65,57.67,62.66,60.49,69.42,54.17,42.75,62.22,53.57,57.03,47.76,41.72,46.15,48.67,37.42
"FL",68.62,72.16,77.68,77.63,70.54,67.35,65.25,71.75,37.66,31.86,32.46,20.07,22.86,11.73,15.91,14.11,34.19,40.24,45.5,38.06,24.78,21.77,29.36,31.95
"GA",75.7,65.11,68.21,74.68,67.08,69.99,64.47,76.22,40.1,14.15,17.86,27.44,17.79,17.94,20.1,21.99,45.78,22.65,28.06,31.44,28.04,26.4,34.83,21.57
"HI",38.72,26.46,30.95,43.05,39.65,22.11,28.93,29.92,43.9,49.38,47.98,54.42,41.19,53.98,46.71,31.74,32.17,33.94,41.26,38.05,38.32,17.45,19.55,23.02
"IA",69.9,59.1,66.68,65.16,56.58,62.3,51.26,56.69,36.54,18.85,18.72,23.47,15.5,7.55,20.55,7.01,50.33,43.13,32.85,34.43,23.87,16.8,13.13,21.14
"ID",69.21,68.21,74.91,57.14,50.4,42.46,58.44,59.14,63.01,33.44,28.94,36.95,35.42,17.54,21.81,30,64.38,53.5,46.7,49.22,42.45,36.19,47.98,33.67
"IL",44.28,34.95,35.45,42.26,43.76,39.59,43.62,37.85,83.44,74.81,74.78,76.55,63.76,71.72,65.41,62.59,58.04,41.63,39.83,48.29,43.46,50.49,37.87,39.57
"IN",80.95,71.61,74.86,71.01,66.27,67.71,56.8,68.96,62.57,49.35,44.72,50.93,43.56,40.2,45.31,37.45,72.93,63.76,58.9,50.67,57.04,44.12,40.62,45.13
"KS",73.58,54.28,59,60.94,54.03,50.87,57.46,62.34,77.66,73.36,71.55,64.21,66.8,63.17,63.95,67.36,60.26,53.13,40.59,40.25,37.62,33.85,40.4,52.12
"KY",77.39,63,60.32,57.79,50.91,49,50.94,45.32,88.44,84.39,83.8,73.01,78.06,77.12,73.19,71.03,74.56,73.45,58.47,54.34,44.46,52.84,50.95,46.12
"LA",68.89,63.81,58.34,71.5,48.84,49.69,40.4,40.41,77.66,78.34,62.34,59.65,63.15,66.35,56.74,71.4,55.13,68.18,67.46,60.76,43.03,44.69,36.41,42.18
"MA",78,76.35,61.29,61.88,56.41,67.45,76.99,69.86,80.82,86.26,76.46,80.23,76.78,79.23,78.97,70.82,81.01,72.68,74.02,63.93,72.8,63.29,64.17,63.84
"MD",76.78,70.68,55.06,77.25,83.86,76.21,79.55,77.72,85,76.3,75.38,74.62,77.62,71.01,62.93,64.59,68.48,69.13,71.41,57.03,64.39,66.75,65.35,68.68
"ME",65.85,42.44,31.42,30.19,47.36,42.83,40.72,36.32,84.48,81.01,73.64,61.31,69.71,83.74,77.67,76.54,63.48,52.55,48.82,56.54,45.92,45.55,46.99,55.09
"MI",33.35,34.94,35.47,41.32,49.26,35.55,33.87,41.32,89.2,88.13,81.43,87.58,91.57,90.5,77.98,83.54,60.94,58.53,54.27,60.22,56.46,59.43,50.74,43.08
"MN",64.34,45.83,37.4,32.01,28.01,38.65,32.93,29.85,82.22,81.85,82.75,77.58,73.4,69.96,70.89,77.08,70.04,59.03,54.55,49.42,60.18,44.26,39.45,50.17
"MO",75.64,65.39,68.1,75.31,63.93,66.19,67.06,74.23,48.73,31.11,24.79,27.86,27.3,17.55,9.59,18.82,53.68,49.7,40.9,31.33,28.65,28.21,23.67,19.71
"MS",73.41,72.84,70.31,78.7,67.68,60.11,50.05,62.28,47.8,28.05,35.4,31.65,26.63,22.36,24.92,16.82,45.91,50.54,58.16,35.85,32.93,16.58,35.18,34.45
"MT",56.5,64.3,48.83,54.91,41.88,40.75,35.77,38.72,67.82,67.71,80.41,72.38,62.82,66.5,72.67,66.14,56.88,59.84,65.74,57.48,61.5,44.56,36.19,43.88
"NC",49.33,50.79,42.06,38.46,37.98,45.69,49.15,46.05,74.32,68.27,64.92,67.96,65.96,62.81,63.74,58.15,61.74,65.34,53.31,43.84,43.29,48.71,44.75,44.24
"ND",78.18,70.13,69.18,79.78,82.01,71.3,71.4,64.95,59.78,44.83,66.01,46.17,29.87,43.86,42.52,35.01,62.33,48.87,57.06,54.3,60.52,44.47,38.64,35.78
"NE",80.95,78.47,76.05,71.36,62.28,72.5,71.9,72.03,42.48,27.27,30.05,30.36,17.56,20.94,18.7,15,60.91,52.72,52.02,42.92,31.67,21.43,25.47,18.11
"NH",84.04,82.42,73.24,76.55,73,71.71,88.88,74.61,75.54,70.34,67.97,77.54,62.51,58.13,63.2,48.96,70.13,70.56,67.89,70.45,61.43,68.14,62.8,50.91
"NJ",62.71,64.21,43.29,58.96,49.34,41.6,52.91,59,71.9,78.97,74.29,79.38,82.58,70.58,69.48,82.91,59.34,52.48,47.93,55.58,47.4,59.2,52.68,45.94
"NM",32.41,45.84,24.7,17.11,42.22,37.32,27.34,31.2,91,84.5,79.48,69.37,79.06,73.19,67.11,66.63,66.65,71.06,46.52,28.27,41.27,41.29,38.68,46.01
"NV",58.73,50.09,46.69,51.8,41.58,28.89,28.31,40.45,65.55,76.04,77.79,60.3,65.71,50.75,60.44,62.3,54.43,50.06,42.7,42.21,39.03,43.36,37.77,46.14
"NY",63.78,55.21,60.84,55.46,71.12,51.79,51.88,59.43,77.94,85.34,81.77,77.6,81.23,77.45,68.93,65.11,61.14,60.18,54.94,52.51,57.47,46.34,49.4,48.21
"OH",83.23,74.5,71.28,65.67,62.67,66.51,63.56,67.52,86.3,86.45,79.04,72.24,65.45,68.38,59.83,60.94,77.31,71.14,59.52,64.39,48.06,43.13,51.51,50.29
"OK",67.9,71.58,69.52,72.72,66.23,61.36,55.43,56.91,34.81,29.78,16.06,12.31,18.31,16.6,26.96,25.86,46.43,38.87,36.22,41.23,17.52,19.77,37.52,18.37
"OR",41.93,28.19,23.59,39.13,36.58,17.52,31.75,23.55,82.11,78.27,82.24,65.11,65.95,61.67,67.83,65.77,52.86,50.48,41.32,42.21,40.49,38.39,34.32,26.05
"PA",48.29,46.71,37.9,37.36,41.55,34.36,39.03,40.66,71.49,71.07,67.47,61.88,67.34,68.93,64.3,63.65,49.89,52.23,57.12,40.85,43.5,39.2,44.21,34.11
"RI",83.72,69.78,52.34,52.39,47.4,45.28,45.62,43.37,83.41,79.41,65.01,76.4,81.83,73.36,69.49,73.45,65.59,69.56,76.16,60.46,78.48,57.8,66.82,62.47
"SC",76.24,69.68,69.99,68.37,64.7,61.03,62.6,64.69,34.32,24.15,27.66,28.16,27.61,9.92,17.37,20.46,40.17,39.43,39.91,31.84,33.75,34.6,29.99,33.44
"SD",70.66,61.37,54.08,78.62,84.03,82,74.3,71.62,16.72,18.55,27.15,30.52,15.99,20.3,2.07,7.7,34.68,49.71,38.59,43.82,40.39,42.14,43.88,34.23
"TN",77.42,69.85,77.63,69.49,67.48,59.85,60.12,70.4,58.18,39.8,33.67,29.25,34.69,29.47,27.07,20.15,46.65,38.36,33.18,34.49,26.31,24.54,23.73,30.27
"TX",86.14,81.12,78.63,74.82,61.75,64.58,69.73,73.58,47.63,36.85,31.99,28.27,28.15,17.78,20.96,23.31,54.52,43.93,42.26,38.78,33.06,33.01,34.17,30.64
"UT",76.76,79.12,59.52,72.61,62.64,58.68,65.64,74.33,54.82,52.23,52.73,32.69,32.5,29.34,30.46,46.74,52.78,41.96,53.45,39.55,35.92,39.28,36.68,41.95
"VA",43.91,36.76,36.34,40.17,50.15,40.55,38.81,41.58,71.69,70.39,68.42,62.74,72.79,55.17,62.41,69.5,58.36,49.99,57.45,40.89,49.63,41.66,36.76,38.53
"VT",80.32,66.96,73.5,62.37,64.05,68.37,61.56,76.77,73.22,83.47,81.52,79.91,77.2,94.79,78.33,90.29,70.17,74.48,75.33,76.94,79.93,71,72.43,82.63
"WA",63.48,48.27,42.43,46.24,46.99,36.55,34.11,40.64,83.06,81.35,74.23,74.17,83.52,76.86,77.04,75.26,62.39,62.87,41.6,51.96,35.61,36.66,38.73,42.35
"WI",45.21,43,41.73,37.39,38.15,29.36,24.15,28.59,77.5,71.36,71.03,65.83,64.62,58.12,53.19,62.55,49.73,48.76,40.51,41.33,37.06,42.61,38.84,36.04
"WV",88.6,80.81,90.06,80.32,76.47,65.29,67.5,69.25,76.28,72.26,70.46,54.34,44.03,50.75,44.35,51.72,71.35,68.32,65.52,59.59,43.41,50.67,31.83,30.93
"WY",83.23,68.11,61.77,80,68.18,66.27,56.91,50.99,41.11,38.91,55.96,33.02,49.95,30.4,32.64,35.83,50.89,47.23,67.1,48.2,51.36,41.57,33.27,40.78
